BorrowerName,BorrowerAddress,BorrowerCity,BorrowerZip,FranchiseName,NAICSCode,BorrowerZip_6dig,Race,Ethnicity
RJ MACHINE INC,7985 DUNBROOK RD STE E,SAN DIEGO,92126-6307,,332710.0,92126,Unanswered,Unknown/NotStated
"ATTIC CONSTRUCTION, INC.",4164 CARTAGENA DR,SAN DIEGO,92115,,236115.0,92115,Unanswered,Unknown/NotStated
SIN LEE FOOD CORP.,4665 EL CAJON BLVD,SAN DIEGO,92115-4404,,424410.0,92115,Asian,Not Hispanic or Latino
VALTECH ENGINEERING,6387 Nancy Ridge Drive,SAN DIEGO,92121,,541330.0,92121,Unanswered,Unknown/NotStated
DENT AND SCRATCH PRO,9585 BLACK MOUNTAIN RD STE C,SAN DIEGO,92126-4578,,811121.0,92126,Unanswered,Unknown/NotStated
MICHAEL R BOULGER CPA,4747 Morena Blvd Ste 250,San Diego,92117-3468,,541211.0,92117,Unanswered,Unknown/NotStated
FRENCH SALSA LLC,956 Broadway Cir,San Diego,92101-6114,,722511.0,92101,Unanswered,Hispanic or Latino
RVISION INC,10350 Science Ctr. Dr. #100,SAN DIEGO,92121,,334310.0,92121,Unanswered,Unknown/NotStated
KM WEST COAST INC,16769 Bernardo Center Dr,San Diego,92128-2546,Ben & Jerry's,722515.0,92128,Unanswered,Unknown/NotStated
"FOUR SEASONS DESIGN, INC.",2451 BRITANNIA BLVD,SAN DIEGO,92154-7405,,323113.0,92154,Unanswered,Unknown/NotStated
YOU ARE MY INC.,5028 Newport Ave,San Diego,92107-3010,,722410.0,92107,White,Not Hispanic or Latino
"NOONAN LANCE BOYER & BANACH, LLP",701 ISLAND AVE STE 400,SAN DIEGO,92101-7125,,541110.0,92101,Unanswered,Unknown/NotStated
MARKS AUTO BODY INC.,8039 Balboa Ave,San Diego,92111-2424,,811121.0,92111,White,Not Hispanic or Latino
BARRIO LOGAN COLLEGE INSTITUTE,2114 National Ave,San Diego,92113-2209,,611710.0,92113,Unanswered,Unknown/NotStated
PACIFICA ABREGO LLC,1775 HANCOCK ST 200,SAN DIEGO,92110-2036,,721110.0,92110,Unanswered,Unknown/NotStated
DB LIBERTY LLC,2970 Truxtun Rd,San Diego,92106-6115,,722511.0,92106,Unanswered,Unknown/NotStated
"CALIFORNIA FERTILITY EXPERTS, INC.",4910 Directors Place Suite 150,San Diego,92121-3801,,621111.0,92121,Unanswered,Unknown/NotStated
CALIFORNIA CONSTRUCTORS,7062 CONVOY CT,SAN DIEGO,92111,,423310.0,92111,Asian,Not Hispanic or Latino
CRYSTAL VISION ENTERPRISES LLC DBA HAMILTON CONSULTING OR HA,11250 El Camino Real Ste 105,San Diego,92130-2677,,611710.0,92130,Unanswered,Unknown/NotStated
SALUS EVENT GROUP,6355 Marindustry Dr Ste B,San Diego,92121-2564,,722320.0,92121,Unanswered,Unknown/NotStated
GOLDEN ISLAND USA LLC,10660 CAMINO RUIZ,SAN DIEGO,92126-3239,,999990.0,92126,Asian,Not Hispanic or Latino
CLIPPER OIL INC,2040 Harbor Island Dr Ste 203,San Diego,92101-1018,,454310.0,92101,Unanswered,Unknown/NotStated
CLIPPER OIL INC,2040 HARBOR ISLAND DR SUITE 203,SAN DIEGO,92101-1018,,454310.0,92101,Unanswered,Unknown/NotStated
ALLIANCE BUILDING SOLUTIONS INC,12520 High Bluff Dr Ste 345,San Diego,92130-2238,,236220.0,92130,Unanswered,Unknown/NotStated
"ALLIANCE BUILDING SOLUTIONS, INC",12520 HIGH BLUFF DR SUITE 345,SAN DIEGO,92130-2063,,238220.0,92130,Unanswered,Unknown/NotStated
ITAV SOLUTIONS INC.,9570 Ridgehaven Ct Ste A,San Diego,92123-1667,,238210.0,92123,Unanswered,Unknown/NotStated
CHARMET TILE,8485 Commerce Avenue,San Diego,92121,,236115.0,92121,Unanswered,Unknown/NotStated
"TRUE BEHAVIORAL HEALTH, INC.",10525 Vista Sorrento Parkway S,San Diego,92121,,,92121,Unanswered,Unknown/NotStated
SUFIAN MUNIR INC.,8170 Miramar Rd,San Diego,92126-4321,,453210.0,92126,Unanswered,Unknown/NotStated
RAISED BY WOLVES VENTURES INC.,4301 LA JOLLA VILLAGE DR Suite 2030,SAN DIEGO,92122-1201,,722410.0,92122,Unanswered,Not Hispanic or Latino
PSYCHARMOR INSTITUTE INC.,"11199 Sorrento Valley Road, suite 203",San Diego,92121-1334,,611710.0,92121,Unanswered,Unknown/NotStated
"CAMI, INC.",10089 WILLOW CREEK RD,SAN DIEGO,92131,,531210.0,92131,Unanswered,Unknown/NotStated
CAMI INC,10089 Willow Creek Rd Ste 230,San Diego,92131-1640,,531210.0,92131,Unanswered,Unknown/NotStated
VOICE OF SAN DIEGO,"110 West A Street, Suite 650",San Diego,92101,,511110.0,92101,Unanswered,Unknown/NotStated
CRAB HUT III INC,8280 MIRA MESA BLVD STE E,SAN DIEGO,92126,,722511.0,92126,Asian,Not Hispanic or Latino
"MITCHELL LAW CORPORATION, A PROFESSIONAL LAW CORPORATION",404 CAMINO DEL RIO S STE 603,SAN DIEGO,92108,,541110.0,92108,Unanswered,Unknown/NotStated
DONALD R. HOLBEN & ASSOCIATES APC,5030 Camino de la Siesta Ste 350,San Diego,92108-3119,,541110.0,92108,White,Not Hispanic or Latino
AMERICAN ECO SERVICES INC,8315 Miralani Dr,San Diego,92126-4348,,238310.0,92126,Unanswered,Unknown/NotStated
"AMERICAN ECO SERVICES, INC.",8315 MIRALANI DR,SAN DIEGO,92126-4348,,238310.0,92126,Unanswered,Unknown/NotStated
ALZHEIMERS SAN DIEGO,6632 CONVOY CT,SAN DIEGO,92111-1009,,624120.0,92111,Unanswered,Unknown/NotStated
IKIN INC,8910 UNIVERSITY CENTER LANE AVENTINE SUITE 400,SAN DIEGO,92122,,541511.0,92122,Unanswered,Unknown/NotStated
"SLANTRANGE, INC",4901 Morena Blvd. Suite 701,San Diego,92117,,518210.0,92117,Unanswered,Unknown/NotStated
PACIFIC PEARL HOTEL MGMT SOUTHER,8910 University Center Ln Ste 640,San Diego,92122-1027,,721110.0,92122,White,Hispanic or Latino
QUARTER AT A TIME LLC,633 Kettner Blvd,San Diego,92101-6718,,722511.0,92101,American Indian or Alaska Native,Hispanic or Latino
"BANKRUPTCY LAW CENTER, APC",1230 COLUMBIA ST STE 1100,SAN DIEGO,92101,,541110.0,92101,Unanswered,Hispanic or Latino
HACIENDA AT 12625 HIGH BLUFF DRIVE LLC,12625 High Bluff Dr Ste 310,San Diego,92130-2054,,721110.0,92130,Unanswered,Unknown/NotStated
FRIENDSHIP 3388 LLC,9870 Hibert St D-13,San Diego,92131-1093,,722511.0,92131,Asian,Not Hispanic or Latino
ALOR INTERNATIONAL LTD,11696 SORRENTO VALLEY RD,SAN DIEGO,92078-1024,,423940.0,92078,Unanswered,Unknown/NotStated
ADVANTAGE TOWING COMPANY INC,3620 Kurtz St,San Diego,92110-4432,,488410.0,92110,White,Not Hispanic or Latino
PANETTERIA,1643 India St,San Diego,92101-2515,,722511.0,92101,White,Not Hispanic or Latino
LABEL CREATIVE LLC,740 13th Street Suite 326,San Diego,92101,,541810.0,92101,Unanswered,Unknown/NotStated
STEVEN T HURST DDS INC,4690 GENESEE AVENUE,SAN DIEGO,92122,,621210.0,92122,Unanswered,Unknown/NotStated
M. READ SERVICES INC.,1050 University Ave E107 24,SAN DIEGO,92103,,711510.0,92103,Unanswered,Unknown/NotStated
SPROUT 1953 LLC,4411 mercury st,San Diego,92111,,722511.0,92111,Asian,Not Hispanic or Latino
THE LAW OFFICES OF RONSON J SHAMOUN APC,303 A St Ste 400,San Diego,92101-4280,,541110.0,92101,White,Not Hispanic or Latino
"QUASAR FEDERAL SYSTEMS, INC.",5754 Pacific Center Boulevard #203,San Diego,92121-4206,,541715.0,92121,White,Unknown/NotStated
QUASAR FEDERAL SYSTEMS INC.,5754 Pacific Center Blvd,San Diego,92121-4206,,541715.0,92121,White,Unknown/NotStated
KNMC ENTERPRISE INC,5447 KEARNY VILLA RD Ste A,SAN DIEGO,92123-1105,,722511.0,92123,Unanswered,Unknown/NotStated
"NEW WAY TREE SERVICES, INC",7485 RONSON RD,SAN DIEGO,92111-1507,,561730.0,92111,Asian,Not Hispanic or Latino
BLUE LIGHT INC.,1350 Columbia St Unit 703,San Diego,92101-3456,,561492.0,92101,White,Not Hispanic or Latino
"XPEDIENT COMMUNICATIONS, INC.",5490 Complex St #603,SAN DIEGO,92123,,517311.0,92123,Unanswered,Unknown/NotStated
CLAIREMONT FARMERS INC.,3055 CLAIREMONT DRIVE,SAN DIEGO,92117,,445230.0,92117,Unanswered,Unknown/NotStated
HAWAIIAN FRESH SEAFOOD INC.,6491 Weathers Pl,San Diego,92121-2935,,424460.0,92121,Unanswered,Unknown/NotStated
"DMD3 LA MESA, INC.",2225 Hancock Street,SAN DIEGO,92110,,531120.0,92110,Unanswered,Unknown/NotStated
"PACIFIC DREDGE AND CONSTRUCTION, LLC",1444 Cesar E. Chavez Pkwy,SAN DIEGO,92113-2132,,237990.0,92113,Unanswered,Unknown/NotStated
"ORNESS DESIGN GROUP, INC.",5955 MIRA MESA BLVD,SAN DIEGO,92121,,238290.0,92121,Unanswered,Unknown/NotStated
PSM COMMERCIAL REALTY,7675 Dagget Street Suite 330,San Diego,92111,,531210.0,92111,Unanswered,Unknown/NotStated
EVEREST INDUSTRIES INC,650 6th Ave,San Diego,92101-7012,,722511.0,92101,Unanswered,Unknown/NotStated
LITTLE ITALY ASSOCIATION,2210 Columbia St,SAN DIEGO,92101-1713,,813910.0,92101,Unanswered,Unknown/NotStated
RATE RABBIT INC,540 FRONT ST,SAN DIEGO,92101-6701,,522310.0,92101,Unanswered,Unknown/NotStated
CITY HEIGHTS FOOD SERVICES CORP DBA LOS TITO'S MEXICAN FOOD,2850 NATIONAL AVE STE 108,SAN DIEGO,92113,,722513.0,92113,Unanswered,Unknown/NotStated
MANNA Y&K ONE INC,4428 CONVOY ST #210,SAN DIEGO,92111-3761,,722511.0,92111,Asian,Not Hispanic or Latino
SWARM INDUSTRIES INC,"967 W LAUREL ST,",SAN DIEGO,92101,,541511.0,92101,White,Not Hispanic or Latino
ARENDSEN CANE MOLNAR LLP,550 WEST C ST SUITE 1150,SAN DIEGO,92101,,541110.0,92101,Unanswered,Unknown/NotStated
"TENACIOUS BREWING COMPANY, LLC",1065 4th Ave.,San Diego,92101-4802,,312120.0,92101,Unanswered,Unknown/NotStated
K & O ENTERPRISES LLC,2647 MAIN ST,SAN DIEGO,92113,,488410.0,92113,Unanswered,Not Hispanic or Latino
RJ MACHINE INC,7985 Dunbrook Rd Ste E,San Diego,92126-6307,,332722.0,92126,Unanswered,Unknown/NotStated
COWO INC,3036 El Cajon Blvd,San Diego,92104-1316,,722511.0,92104,Unanswered,Unknown/NotStated
SLANTRANGE INC,4901 Morena Blvd Ste 701,San Diego,92117-3430,,334111.0,92117,Unanswered,Unknown/NotStated
GAFFNEY FOODS INC.,4561 Mission Gorge Pl Ste D,San Diego,92120-4113,,311412.0,92120,White,Not Hispanic or Latino
"ABBEY PARTY RENTS OF SAN DIEGO AND RIVERSIDE COUNTIES, INC.",8860 PRODUCTION AVE,SAN DIEGO,92121,,532299.0,92121,Unanswered,Unknown/NotStated
"TAP ROOM ENTERPRISES, INC.",1269 Garnet Avenue,San Diego,92109,,722515.0,92109,Unanswered,Not Hispanic or Latino
TRANSPORTATION SERVICES INC,410 Hawthorn St,San Diego,92101-2319,,484110.0,92101,Black or African American,Not Hispanic or Latino
LT'S ANIMAL CARE CENTER INC,11339 Sorrento Valley Rd,San Diego,92121-1342,,812910.0,92121,White,Not Hispanic or Latino
VAN SARK INC.,2493 Roll Dr Ste 210 PMB 2008,San Diego,92154-7230,,337127.0,92154,Unanswered,Unknown/NotStated
SOUTHERN STATE UNIVERSITY INC.,1094 Cudahy Pl Ste 120,San Diego,92110-3932,,611310.0,92110,White,Hispanic or Latino
BROOKWOOD PLASTERING INC,4876 ELSA RD,SAN DIEGO,92120-4211,,238310.0,92120,Unanswered,Unknown/NotStated
"SPORTING FRATERNITY, INC.",406 9TH AVE,SAN DIEGO,92101,,813410.0,92101,American Indian or Alaska Native,Hispanic or Latino
SPORTING FRATERNITY INC.,633 Kettner Blvd,San Diego,92101-6718,,541611.0,92101,American Indian or Alaska Native,Hispanic or Latino
SAN DIEGO SPINE CENTER AMC,3760 Convoy St. Ste 114,San Diego,92111,,621111.0,92111,Unanswered,Unknown/NotStated
"JAKE'S MOTORCARS, INC.",5502 OBERLIN DR,SAN DIEGO,92121,,441120.0,92121,Unanswered,Unknown/NotStated
TECH4LEARNING INC.,6160 Mission Gorge Rd Ste 206,San Diego,92120-3410,,511210.0,92120,Unanswered,Not Hispanic or Latino
BARCADIA LLC,2400 India St,San Diego,92101-1211,,722511.0,92101,Unanswered,Not Hispanic or Latino
ELOR ENERGY INC,7248 Clairemont Mesa Blvd,San Diego,92111-1007,,236118.0,92111,Unanswered,Unknown/NotStated
WASTVEDT AND COMPANY INC.,12626 High Bluff Dr Ste 300,San Diego,92130-2073,,541211.0,92130,Unanswered,Not Hispanic or Latino
"JUNIOR ACHIEVEMENT OF SAN DIEGO, INC.",4756 MISSION GORGE PL,SAN DIEGO,92120-4227,,813219.0,92120,Unanswered,Unknown/NotStated
K & O ENTERPRISES LLC,2647 Main St,San Diego,92113-3612,,488410.0,92113,Unanswered,Not Hispanic or Latino
WHISPERING WINDS CATHOLIC CONFERENCE CENTER,"4636 Mission Gorge Pl., #203",SAN DIEGO,92120-4131,,813110.0,92120,Unanswered,Unknown/NotStated
ST. JAMES HOTEL LLC,315 Fourth Ave,SAN DIEGO,92101-6901,,721110.0,92101,Unanswered,Unknown/NotStated
"MARSHALL'S INDUSTRIAL HARDWARE, INC.",8423 PRODUCTION AVE,SAN DIEGO,92121,,423710.0,92121,Unanswered,Unknown/NotStated
CHW ENTERTAINMENT INC,655 4TH AVE,SAN DIEGO,92101,,722511.0,92101,Unanswered,Unknown/NotStated
"ABSOLUTE HOSPICE CARE, INC",3914 Murphy Canyon Rd.,San Diego,92123-4491,,621610.0,92123,Black or African American,Not Hispanic or Latino
"ABLEFORCE, INC.",PO Box 420322,SAN DIEGO,92142,,561311.0,92142,Unanswered,Unknown/NotStated
"MC - LA MESA, INC.",6950 ALVARADO RD,SAN DIEGO,92120-5305,Marie Callender Pie Shops,722511.0,92120,Unanswered,Not Hispanic or Latino
"VALOR PROPERTY MANAGEMENT, INC.",3636 CAMINO DEL RIO N #245,SAN DIEGO,92108-1700,,531390.0,92108,White,Not Hispanic or Latino
BUILDING RESOURCE MGMT,6160 Fairmount Ave Suite E,San Diego,92120-3408,,236115.0,92120,Unanswered,Unknown/NotStated
KDME INC,1641 Quivira Rd,San Diego,92109-7801,,532282.0,92109,Unanswered,Not Hispanic or Latino
HARNEY SUSHI INC,3964 Harney St,San Diego,92110,,722511.0,92110,Unanswered,Not Hispanic or Latino
KABIR BLUESTAR LLC,641 CAMINO DEL RIO S,SAN DIEGO,92108-3512,La Quinta by Wyndham a.k.a. La Quinta Inn & Suites,721110.0,92108,Unanswered,Unknown/NotStated
PAYNE PEST MANAGEMENT INC,10070 CARROLL CANYON RD STE 100,SAN DIEGO,92131,,561710.0,92131,Black or African American,Unknown/NotStated
"PINNACLE INDUSTRIAL SUPPLY, INC.",1612 PACIFIC RIM CT.,SAN DIEGO,92154,,423840.0,92154,White,Unknown/NotStated
JUNO TECHNOLOGIES INC,4542 RUFFNER ST STE 320,SAN DIEGO,92111-2250,,541511.0,92111,Unanswered,Unknown/NotStated
L. E. MEDRANO INC.,4218 MARKET ST,SAN DIEGO,92102-4629,,236118.0,92102,Unanswered,Unknown/NotStated
"CID INSURANCE PROGRAMS, INC.",7125 El Cajon Blvd,San Diego,92115-1828,,524210.0,92115,Unanswered,Unknown/NotStated
PAYNE PEST MANAGEMENT INC,10070 Carroll Canyon Rd Ste 100,San Diego,92131-1134,,561710.0,92131,White,Not Hispanic or Latino
40/30 DENTAL INC,6175 El Cajon Blvd,San Diego,92115-3915,,621210.0,92115,Unanswered,Not Hispanic or Latino
"WARNER SPRINGS RANCH RESORT, LLC",11250 EL CAMINO REAL STE 100,SAN DIEGO,92130-2647,,531390.0,92130,Unanswered,Unknown/NotStated
SKIN SURGERY MEDICAL GROUP INC.,5222 BALBOA AVE,SAN DIEGO,92117,,,92117,Unanswered,Unknown/NotStated
J F TRANSMISSIONS LEMON GROVE,3905 Convoy St,San Diego,92111-3723,,811113.0,92111,White,Not Hispanic or Latino
JANETTE J. GRAY MD,3636 5th Ave Ste 300,San Diego,92103-4230,,621111.0,92103,Unanswered,Unknown/NotStated
DIG A PONY LLC,4411 Mercury St Ste 202,San Diego,92111-3758,,722511.0,92111,Asian,Not Hispanic or Latino
WCBM INC,1163 Morena Blvd,San Diego,92110-3812,,722410.0,92110,White,Not Hispanic or Latino
SOCIETE BREWING COMPANY LLC,8262 Clairemont Mesa Blvd,San Diego,92111-1702,,445310.0,92111,Unanswered,Unknown/NotStated
SOUTHWEST ASSETS MANAGEMENT CORP.,6682 GATEWAY DR,SAN DIEGO,92154,,532299.0,92154,White,Not Hispanic or Latino
NATIVITY PREP-ACADEMY OF,6126 Adelaide Ave,San Diego,92115-5523,,611110.0,92115,Unanswered,Unknown/NotStated
SWVP MFC LLC,12770 El Camino Real Ste 200,San Diego,92130-2247,Marriott/JW Marriott,721110.0,92130,Unanswered,Unknown/NotStated
"WASTVEDT AND COMPANY, INC.",12626 High Bluff Drive Suite 300,SAN DIEGO,92130-2009,,541211.0,92130,Unanswered,Not Hispanic or Latino
PLANCK AEROSYSTEMS INC.,2065 Kurtz St,San Diego,92110-2014,,336411.0,92110,Unanswered,Unknown/NotStated
KIRBY & MCGUINN APC,707 Broadway,San Diego,92101-5300,,541110.0,92101,White,Not Hispanic or Latino
O&S CALIFORNIA INC,9731 Siempre Viva Rd Ste E,San Diego,92154-7200,,238120.0,92154,Unanswered,Unknown/NotStated
EXCELLENCE AUTO DETAIL LLC,3065 Beyer Blvd Ste 103,San Diego,92154-3499,,811192.0,92154,Unanswered,Unknown/NotStated
NATHAN KUNES INCORPORATED,5055 North Harbor Drive,San Diego,92106,,561312.0,92106,Unanswered,Unknown/NotStated
B4 ENTERTAINMENT LLC,4656 Mission Blvd,San Diego,92109-2734,,722511.0,92109,White,Not Hispanic or Latino
MANNA Y&K MIRA MESA INC.,8188 Mira Mesa Blvd,San Diego,92126-2602,,722511.0,92126,Asian,Not Hispanic or Latino
VIZCARRA ENTERPRISES,1290 F St,San Diego,92101-6676,,722513.0,92101,White,Hispanic or Latino
DEL MAR HOTEL LLC,11920 EL CAMINO REAL,SAN DIEGO,92130-2592,Hampton Inn,721110.0,92130,Unanswered,Not Hispanic or Latino
DENALI ADVISORS LLC,5075 Shoreham Pl,San Diego,92122-5927,,523930.0,92122,Unanswered,Unknown/NotStated
"DENALI ADVISORS, LLC",5075 Shoreham Place Suite 120,SAN DIEGO,92122,,523930.0,92122,Unanswered,Unknown/NotStated
"THE DUCK DIVE, LP",4650 Mission Blvd,San Diego,92109,,722511.0,92109,Unanswered,Unknown/NotStated
"MIVA MERCHANT, INC.",16745 WEST BERNARDO DRIVE SUITE 400 SAN DIEGO CA 92127,SAN DIEGO,92127,,541511.0,92127,Unanswered,Not Hispanic or Latino
BRNCIC INC.,9555 Genesee Ave Ste 200,San Diego,92121-2058,,541330.0,92121,Unanswered,Unknown/NotStated
FOUNDATION ESCROW COMPANY,"1660 Hotel Circle North, Suite 716",San Diego,92108-2815,,531390.0,92108,Unanswered,Unknown/NotStated
SUN GROWN ORGANIC DISTRIBUTORS INC.,2325 Hollister St N/A,San Diego,92154-4306,,111419.0,92154,Unanswered,Unknown/NotStated
TURQUOISE CELLARS LLC,5026 Cass St,San Diego,92109-1801,,722410.0,92109,Unanswered,Not Hispanic or Latino
"GRIFFIN FUNDING, INC.",2445 5TH AVE STE 300,SAN DIEGO,92101,,522310.0,92101,White,Not Hispanic or Latino
TWO PACK HOTEL LP,9880 & 9888 Mira Mesa Blvd,SAN DIEGO,92131-1025,,721110.0,92131,White,Not Hispanic or Latino
ELECTRONIC SURFACE MOUNTED INDUSTRIES,6731 COBRA WAY,SAN DIEGO,92121,,334418.0,92121,Asian,Unknown/NotStated
G & P PARTNERS,1010 UNIVERSITY AVE,SAN DIEGO,92103-3310,,722515.0,92103,White,Not Hispanic or Latino
"BARTON HOUSE SENIOR LIVING, LLC",12625 HIGH BLUFF DRIVE # 310,SAN DIEGO,92130,,531190.0,92130,Unanswered,Unknown/NotStated
HIDEN ROTT & OERTLE LLP,2635 Camino del Rio S Ste 110,San Diego,92108-3727,,541110.0,92108,Unanswered,Unknown/NotStated
TEEPLE HALL LLP,9255 TOWNE CENTRE DRIVE SUITE 500,SAN DIEGO,92121,,541110.0,92121,Unanswered,Unknown/NotStated
LGB INC,8735 Dead Stick Rd,San Diego,92154-7710,,315210.0,92154,Unanswered,Unknown/NotStated
JOSE'S LA JOLLA LLC,575 Union St,San Diego,92101-6728,,722511.0,92101,Unanswered,Unknown/NotStated
NOONAN LANCE BOYER & BANACH LLP,701 Island Ave Ste 400,San Diego,92101-7143,,541110.0,92101,Unanswered,Unknown/NotStated
"PRICE PELLETIER, LLP","530 B Street, #1310",SAN DIEGO,92101-4498,,999990.0,92101,Unanswered,Unknown/NotStated
GOGLIA NUTRITION LLC,415 W G St,San Diego,92101-6006,,446191.0,92101,Unanswered,Unknown/NotStated
3DT HOLDINGS LLC,11107 Roselle St Ste 213,San Diego,92121-1206,,541720.0,92121,Unanswered,Unknown/NotStated
"3DT HOLDINGS, LLC",11107 ROSELLE ST,SAN DIEGO,92121,,541711.0,92121,Unanswered,Unknown/NotStated
WOLFFY'S PLACE INC,844 Market St,San Diego,92101-6425,,722511.0,92101,Unanswered,Hispanic or Latino
BUILDING RESOURCE MANAGEMENT INC.,6160 Fairmount Ave Ste E,San Diego,92120-3427,,236118.0,92120,Unanswered,Unknown/NotStated
RA CAPITAL ADVISORS,12230 El Camino Real Suite 100,San Diego,92130-2090,,561499.0,92130,White,Not Hispanic or Latino
"BRANDED RESEARCH, INC.",343 4TH AVE STE. 201,SAN DIEGO,92101-6901,,541870.0,92101,Unanswered,Unknown/NotStated
HOUSE OF METAMORPHOSIS INC,2970 MARKET ST,SAN DIEGO,92102-3241,,523991.0,92102,Unanswered,Unknown/NotStated
COMMA AI INC,1441 STATE STREET,SAN DIEGO,92101,,541715.0,92101,Unanswered,Unknown/NotStated
"FLYNN & PIEL INSURANCE SERVICES, LLC",10809 THORNMINT RD,SAN DIEGO,92127,,524210.0,92127,Unanswered,Unknown/NotStated
MIND PROTEIN INC.,3033 Bunker Hill St,San Diego,92109-5705,,611710.0,92109,Unanswered,Unknown/NotStated
"ACE JANITORIAL SERVICES, INC.",4901 Morena Boulevard,San Diego,92117,,812990.0,92117,Unanswered,Unknown/NotStated
3010 HOSPITALITY LLC,3010 Clairemond Dr,SAN DIEGO,92117,,722410.0,92117,Asian,Not Hispanic or Latino
SOUTH COAST SURF RETAIL INC.,5023 NEWPORT AVE,SAN DIEGO,92107-3009,,451110.0,92107,Unanswered,Unknown/NotStated
"DEL MAR HIGHLANDS CAR WASH, INC.",12889 EL CAMINO REAL,SAN DIEGO,92130-2010,,447110.0,92130,White,Not Hispanic or Latino
SAN DIEGO TACO COMPANY INC,2196 LOGAN AVE,SAN DIEGO,92113-2204,,722513.0,92113,White,Hispanic or Latino
"POTTER HANDY, LLP",8033 LINDA VISTA RD Suite 200,SAN DIEGO,92111-5108,,541110.0,92111,White,Not Hispanic or Latino
"PREMIUM WEST, INC.",5055 Rancho Quinta Bnd,San Diego,92130-5228,,238910.0,92130,White,Not Hispanic or Latino
POISET DENTAL CORPORATION,7930 Frost St Ste 101,San Diego,92123-2756,,621210.0,92123,Unanswered,Unknown/NotStated
ST PAULS LUTHERAN CHURCH,1376 FELSPAR STREET,SAN DIEGO,92109,,,92109,White,Unknown/NotStated
PRO KIDS GOLF ACADEMY,4085 52nd St,San Diego,92105-2274,,611620.0,92105,Unanswered,Unknown/NotStated
LIGHTHORSE TECHNOLOGIES INC,9511 RIDGEHAVEN CT STE B,SAN DIEGO,92123-5617,,334419.0,92123,White,Not Hispanic or Latino
"GREEN BRYANT & FRENCH, LLP",402 W BROADWAY STE 1950,SAN DIEGO,92101-3504,,541110.0,92101,Unanswered,Unknown/NotStated
RIGOBERTO'S TACO SHOP INC,7094 MIRAMAR ROAD STE 119,SAN DIEGO,92121,,722511.0,92121,Unanswered,Unknown/NotStated
JXR CONSTRUCTORS INC.,9750 Birch Canyon Pl,San Diego,92126-1076,,236220.0,92126,Unanswered,Hispanic or Latino
CAPRENOS INC.,4345 MURPHY CANYON RD Suite 200,SAN DIEGO,92123-4362,,541110.0,92123,Unanswered,Unknown/NotStated
CORRAO GROUP LLC,11230 Sorrento Valley Rd,San Diego,92121,,525910.0,92121,White,Not Hispanic or Latino
PLATT COLLEGE SAN DIEGO,6250 EL CAJON BOULEVARD,SAN DIEGO,92115,,611310.0,92115,White,Not Hispanic or Latino
LT'S ANIMAL CARE CENTER,11339 SORRENTO VALLEY RD,SAN DIEGO,92121-1303,,541940.0,92121,White,Not Hispanic or Latino
HARA NO SHITA DE HOLDINGS INC,750 W Fir St Ste 101,San Diego,92101-2203,,722511.0,92101,Unanswered,Not Hispanic or Latino
BALBOA PARK CONSERVANCY,1549 EL PRADO,SAN DIEGO,92101-1699,,813312.0,92101,Unanswered,Unknown/NotStated
BALBOA PARK CONSERVANCY,1549 El Prado Ste 1,San Diego,92101-1619,,712120.0,92101,Unanswered,Unknown/NotStated
"REMOTE OCEAN SYSTEMS, INC.",5618 Copley Drive,San Diego,92111-7902,,334511.0,92111,Unanswered,Unknown/NotStated
UNITE HERE LOCAL 30,1940 5th Ave Siote 200,San Diego,92101-2364,,813930.0,92101,White,Not Hispanic or Latino
M.W. STEELE GROUP INC.,1805 NEWTON AVE STE A,SAN DIEGO,92113-2117,,541310.0,92113,White,Not Hispanic or Latino
"PLATT/WHITELAW ARCHITECTS, INC.",4034 30th St,San Diego,92104,,541310.0,92104,Unanswered,Unknown/NotStated
"VINCERO, LLC","311 4th Ave, Suite 410",SAN DIEGO,92121,,448150.0,92121,Unanswered,Unknown/NotStated
RANGONI U.S. CORP.,6199 Cornerestone CT E #106,San Diego,92121-4740,,448210.0,92121,Unanswered,Unknown/NotStated
GEORGE'S CAMERA EXCHANGE,7475 Clairemont Mesa Blvd,San Diego,92111-1547,,423410.0,92111,White,Hispanic or Latino
LIFETIME MONTESSORI SCHOOL,14727 Camino De La Luna,San Diego,92127,,561312.0,92127,Unanswered,Not Hispanic or Latino
GREAT ECOLOGY & ENVIRONMENTS INC.,2251 San Diego Ave,San Diego,92110-3003,,541620.0,92110,Unanswered,Not Hispanic or Latino
KING LEE CHEMICAL CORP,"8949 Kenamar Drive,107",San Diego,92121,,339999.0,92121,Unanswered,Unknown/NotStated
"WEBLISTERS, INC.",3245 University Avenue #1625,San Diego,92104,,999990.0,92104,Unanswered,Unknown/NotStated
"SOUTHWEST ENVIRONMENTAL, INC.","9060 Activity Road, Suite F",San Diego,92126-4421,,238220.0,92126,Unanswered,Not Hispanic or Latino
"NOCIMED, INC.","4330 La Jolla Village Dr, Suite 130",San Diego,92122,,541519.0,92122,Unanswered,Unknown/NotStated
DIXON PEDIATRIC DENTAL GROUP,5627 Oberlin Drive Ste 100,SAN DIEGO,92121-1722,,621210.0,92121,Unanswered,Unknown/NotStated
"TUNGSTEN HEAVY POWDER, INC",6170 CORNERSTONE CT,SAN DIEGO,92121-3767,,332111.0,92121,Unanswered,Unknown/NotStated
