naics,naics_description
423140,Motor Vehicle Parts (Used) Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
441310,Automotive Parts and Accessories Stores
423210,Furniture Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
442110,Furniture Stores
423220,Home Furnishing Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
442210,Floor Covering Stores
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers "
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
444110,Home Centers
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers"
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
444190,Other Building Material Dealers
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers"
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
444190,Other Building Material Dealers
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers"
423390,Other Construction Material Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
444190,Other Building Material Dealers
423410,Photographic Equipment and Supplies Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
423420,Office Equipment Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
453210,Office Supplies and Stationery Stores
423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
443142,Electronics Stores
423440,Other Commercial Equipment Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers"
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
446199,All Other Health and Personal Care Stores
423460,Ophthalmic Goods Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
423490,Other Professional Equipment and Supplies Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
453210,Office Supplies and Stationery Stores 
423510,Metal Service Centers and Other Metal Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
423520,Coal and Other Mineral and Ore Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers"
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
444190,Other Building Material Dealers
423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers"
423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
443141,Household Appliance Stores
443142,Electronics Stores
444190,Other Building Material Dealers
423690,Other Electronic Parts and Equipment Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
443142,Electronics Stores
443142,Electronics Stores
423710,Hardware Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
444130,Hardware Stores
423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers"
423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
444190,Other Building Material Dealers
423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers 
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
423740,Refrigeration Equipment and Supplies Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
423820,Farm and Garden Machinery and Equipment Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
444210,Outdoor Power Equipment Stores
423830,Industrial Machinery and Equipment Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
423830,Industrial Machinery and Equipment Merchant Wholesalers
423840,Industrial Supplies Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
453998,All Other Miscellaneous Store Retailers (except Tobacco Stores)
423850,Service Establishment Equipment and Supplies Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
446120,"Cosmetics, Beauty Supplies, and Perfume Stores"
423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
451110,Sporting Goods Stores
423920,Toy and Hobby Goods and Supplies Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
451120,"Hobby, Toy, and Game Stores"
423930,Recyclable Material Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers 
423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers"
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
448310,Jewelry Stores
423990,Other Miscellaneous Durable Goods Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
443142,Electronics Stores
444190,Other Building Material Dealers
451110,Sporting Goods Stores
451120,"Hobby, Toy, and Game Stores"
424110,Printing and Writing Paper Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
453210,Office Supplies and Stationery Stores
424120,Stationery and Office Supplies Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
453210,Office Supplies and Stationery Stores
424130,Industrial and Personal Service Paper Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
453998,All Other Miscellaneous Store Retailers (except Tobacco Stores)
424210,Drugs and Druggists' Sundries Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
446110,Pharmacies and Drug Stores
446120,"Cosmetics, Beauty Supplies, and Perfume Stores"
446191,Food (Health) Supplement Stores
313310,Textile and Fabric Finishing Mills
313310,Textile and Fabric Finishing Mills
424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers"
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
451130,"Sewing, Needlework, and Piece Goods Stores"
423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers
424320,Men's and Boys' Clothing and Furnishings Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
448110,Men's Clothing Stores 
448190,Other Clothing Stores
423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers
424330,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers"
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
448120,Women's Clothing Stores
448130,Children's and Infants' Clothing Stores
448190,Other Clothing Stores
424340,Footwear Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
448210,Shoe Stores
424410,General Line Grocery Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
445110,Supermarkets and Other Grocery (except Convenience) Stores
424420,Packaged Frozen Food Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
454390,Other Direct Selling Establishments
424430,Dairy Product (except Dried or Canned) Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
445299,All Other Specialty Food Stores
424440,Poultry and Poultry Product Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
445210,Meat Markets
424450,Confectionery Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
445292,Confectionery and Nut Stores
424460,Fish and Seafood Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
445220,Fish and Seafood Markets
311612,Meat Processed from Carcasses
424470,Meat and Meat Product Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
445210,Meat Markets
424480,Fresh Fruit and Vegetable Merchant Wholesalers
425110,Business to Business Electronic Markets 
425120,Wholesale Trade Agents and Brokers
445230,Fruit and Vegetable Markets
312112,Bottled Water Manufacturing
424490,Other Grocery and Related Products Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
445299,All Other Specialty Food Stores
453910,Pet and Pet Supplies Stores
424510,Grain and Field Bean Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
444220,"Nursery, Garden Center, and Farm Supply Stores"
424520,Livestock Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
424590,Other Farm Product Raw Material Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
444220,"Nursery, Garden Center, and Farm Supply Stores"
424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
453998,All Other Miscellaneous Store Retailers (except Tobacco Stores)
424690,Other Chemical and Allied Products Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
424710,Petroleum Bulk Stations and Terminals
454310,Fuel Dealers
454310,Fuel Dealers
424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
424810,Beer and Ale Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
445310,"Beer, Wine, and Liquor Stores"
424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
445310,"Beer, Wine, and Liquor Stores"
424910,Farm Supplies Merchant Wholesalers 
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
444220,"Nursery, Garden Center, and Farm Supply Stores"
424920,"Book, Periodical, and Newspaper Merchant Wholesalers"
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
451211,Book Stores
424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers"
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
444220,"Nursery, Garden Center, and Farm Supply Stores"
424940,Tobacco and Tobacco Product Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
453991,Tobacco Stores
424950,"Paint, Varnish, and Supplies Merchant Wholesalers"
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers"
424340,Footwear Merchant Wholesalers
424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers
424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers
425110,Business to Business Electronic Markets
425120,Wholesale Trade Agents and Brokers
453220,"Gift, Novelty, and Souvenir Stores"
453910,Pet and Pet Supplies Stores
453991,Tobacco Stores
541890,Other Services Related to Advertising
444110,Home Centers
444190,Other Building Material Dealers
444120,Paint and Wallpaper Stores
444190,Other Building Material Dealers
444130,Hardware Stores
444210,Outdoor Power Equipment Stores
444220,"Nursery, Garden Center, and Farm Supply Stores"
453930,Manufactured (Mobile) Home Dealers
452210,Department Stores
452311,Warehouse Clubs and Supercenters
452319,All Other General Merchandise Stores
452210,Department Stores
452311,Warehouse Clubs and Supercenters
452319,All Other General Merchandise Stores 
445110,Supermarkets and Other Grocery (except Convenience) Stores
445120,Convenience Stores
447110,Gasoline Stations with Convenience Stores
452210,Department Stores
452311,Warehouse Clubs and Supercenters
454390,Other Direct Selling Establishments
445210,Meat Markets
445220,Fish and Seafood Markets
454390,Other Direct Selling Establishments
445230,Fruit and Vegetable Markets
454390,Other Direct Selling Establishments
311340,Nonchocolate Confectionery Manufacturing
311352,Confectionery Manufacturing from Purchased Chocolate
445292,Confectionery and Nut Stores
445299,All Other Specialty Food Stores
311811,Retail Bakeries
445291,Baked Goods Stores
722515,Snack and Nonalcoholic Beverage Bars
445210,Meat Markets
445299,All Other Specialty Food Stores
446191,Food (Health) Supplement Stores
441110,New Car Dealers
441120,Used Car Dealers
441310,Automotive Parts and Accessories Stores
441320,Tire Dealers
452319,All Other General Merchandise Stores
447110,Gasoline Stations with Convenience Stores
447190,Other Gasoline Stations
441222,Boat Dealers
441210,Recreational Vehicle Dealers
441228,"Motorcycle, ATV, and All Other Motor Vehicle Dealers"
441228,"Motorcycle, ATV, and All Other Motor Vehicle Dealers"
448110,Men's Clothing Stores
448150,Clothing Accessories Stores
448120,Women's Clothing Stores
448190,Other Clothing Stores
448150,Clothing Accessories Stores
448190,Other Clothing Stores
448130,Children's and Infants' Clothing Stores
448140,Family Clothing Stores
448210,Shoe Stores
315220,Men’s and Boys’ Cut and Sew Apparel Manufacturing
315220,Men’s and Boys’ Cut and Sew Apparel Manufacturing 
315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing"
448150,Clothing Accessories Stores
448190,Other Clothing Stores
337110,Wood Kitchen Cabinet and Countertop Manufacturing
337121,Upholstered Household Furniture Manufacturing
337122,Nonupholstered Wood Household Furniture Manufacturing
442110,Furniture Stores
442210,Floor Covering Stores
314120,Curtain and Linen Mills
314120,Curtain and Linen Mills
442291,Window Treatment Stores
451130,"Sewing, Needlework, and Piece Goods Stores"
327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing"
442291,Window Treatment Stores
442299,All Other Home Furnishings Stores
443141,Household Appliance Stores
441310,Automotive Parts and Accessories Stores
443142,Electronics Stores
443142,Electronics Stores
443142,Electronics Stores
451140,Musical Instrument and Supplies Stores
711110,Theater Companies and Dinner Theaters
722310,Food Service Contractors
722320,Caterers
722511,Full-Service Restaurants
722513,Limited-Service Restaurants
722514,"Cafeterias, Grill Buffets, and Buffets"
722515,Snack and Nonalcoholic Beverage Bars
722410,Drinking Places (Alcoholic Beverages)
446110,Pharmacies and Drug Stores
445310,"Beer, Wine, and Liquor Stores"
453310,Used Merchandise Stores
522298,All Other Nondepository Credit Intermediation
451110,Sporting Goods Stores
451211,Book Stores
453210,Office Supplies and Stationery Stores
448310,Jewelry Stores
451120,"Hobby, Toy, and Game Stores"
443142,Electronics Stores
453220,"Gift, Novelty, and Souvenir Stores"
448320,Luggage and Leather Goods Stores
451130,"Sewing, Needlework, and Piece Goods Stores"
454110,Electronic Shopping and Mail-Order Houses 
454210,Vending Machine Operators
454390,Other Direct Selling Establishments
722330,Mobile Food Services
454310,Fuel Dealers
454310,Fuel Dealers
454310,Fuel Dealers
453110,Florists
453991,Tobacco Stores
451212,News Dealers and Newsstands
339115,Ophthalmic Goods Manufacturing
446130,Optical Goods Stores
339113,Surgical Appliance and Supplies Manufacturing
443142,Electronics Stores
446120,"Cosmetics, Beauty Supplies, and Perfume Stores"
446199,All Other Health and Personal Care Stores
453910,Pet and Pet Supplies Stores
453920,Art Dealers
453998,All Other Miscellaneous Store Retailers (except Tobacco Stores)
521110,Monetary Authorities-Central Bank
522298,All Other Nondepository Credit Intermediation
522110,Commercial Banking
522210,Credit Card Issuing
522110,Commercial Banking
522190,Other Depository Credit Intermediation
522210,Credit Card Issuing
522110,Commercial Banking
522120,Savings Institutions
522120,Savings Institutions
522130,Credit Unions
522130,Credit Unions
522110,Commercial Banking
522293,International Trade Financing
522298,All Other Nondepository Credit Intermediation
522293,International Trade Financing
522298,All Other Nondepository Credit Intermediation
523991,"Trust, Fiduciary, and Custody Activities"
522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities"
522390,Other Activities Related to Credit Intermediation
523130,Commodity Contracts Dealing
523991,"Trust, Fiduciary, and Custody Activities"
522292,Real Estate Credit
522293,International Trade Financing
522294,Secondary Market Financing 
522298,All Other Nondepository Credit Intermediation
522210,Credit Card Issuing
522220,Sales Financing
522291,Consumer Lending
522298,All Other Nondepository Credit Intermediation
522210,Credit Card Issuing
522220,Sales Financing
522298,All Other Nondepository Credit Intermediation
522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities"
523910,Miscellaneous Intermediation
522220,Sales Financing
522292,Real Estate Credit
522293,International Trade Financing
522294,Secondary Market Financing
522298,All Other Nondepository Credit Intermediation
522292,Real Estate Credit
522390,Other Activities Related to Credit Intermediation
522310,Mortgage and Nonmortgage Loan Brokers
523110,Investment Banking and Securities Dealing
523120,Securities Brokerage
523910,Miscellaneous Intermediation
523999,Miscellaneous Financial Investment Activities
523130,Commodity Contracts Dealing
523140,Commodity Contracts Brokerage
523210,Securities and Commodity Exchanges
523920,Portfolio Management
523930,Investment Advice
523991,"Trust, Fiduciary, and Custody Activities"
523999,Miscellaneous Financial Investment Activities
524113,Direct Life Insurance Carriers
524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers"
524130,Reinsurance Carriers
524113,Direct Life Insurance Carriers
524114,Direct Health and Medical Insurance Carriers
524130,Reinsurance Carriers
525190,Other Insurance Funds
524114,Direct Health and Medical Insurance Carriers
524130,Reinsurance Carriers
525190,Other Insurance Funds 
524126,Direct Property and Casualty Insurance Carriers
524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers"
524130,Reinsurance Carriers
525190,Other Insurance Funds
524126,Direct Property and Casualty Insurance Carriers
524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers"
524130,Reinsurance Carriers
524127,Direct Title Insurance Carriers
524130,Reinsurance Carriers
523920,Portfolio Management
524292,Third Party Administration of Insurance and Pension Funds
525110,Pension Funds
525120,Health and Welfare Funds
525990,Other Financial Vehicles
524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers"
524210,Insurance Agencies and Brokerages
524291,Claims Adjusting
524292,Third Party Administration of Insurance and Pension Funds
524298,All Other Insurance Related Activities
531120,Lessors of Nonresidential Buildings (except Miniwarehouses)
711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities"
531110,Lessors of Residential Buildings and Dwellings
531110,Lessors of Residential Buildings and Dwellings
531190,Lessors of Other Real Estate Property
531190,Lessors of Other Real Estate Property
531190,Lessors of Other Real Estate Property
531110,Lessors of Residential Buildings and Dwellings
531210,Offices of Real Estate Agents and Brokers
531311,Residential Property Managers
531312,Nonresidential Property Managers
531320,Offices of Real Estate Appraisers
531390,Other Activities Related to Real Estate
812220,Cemeteries and Crematories
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)"
541191,Title Abstract and Settlement Offices
237210,Land Subdivision
812220,Cemeteries and Crematories 
551111,Offices of Bank Holding Companies
551112,Offices of Other Holding Companies
525910,Open-End Investment Funds
525990,Other Financial Vehicles
813211,Grantmaking Foundations
523920,Portfolio Management
523991,"Trust, Fiduciary, and Custody Activities"
525190,Other Insurance Funds
525920,"Trusts, Estates, and Agency Accounts"
523910,Miscellaneous Intermediation
533110,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)
533110,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)
525990,Other Financial Vehicles
531110,Lessors of Residential Buildings and Dwellings
531120,Lessors of Nonresidential Buildings (except Miniwarehouses)
531130,Lessors of Miniwarehouses and Self- Storage Units
531190,Lessors of Other Real Estate Property
523130,Commodity Contracts Dealing
523910,Miscellaneous Intermediation
523920,Portfolio Management
721110,Hotels (except Casino Hotels) and Motels
721120,Casino Hotels
721191,Bed-and-Breakfast Inns
721199,All Other Traveler Accommodation
721310,Rooming and Boarding Houses
721214,Recreational and Vacation Camps (except Campgrounds)
721211,RV (Recreational Vehicle) Parks and Campgrounds
721110,Hotels (except Casino Hotels) and Motels
721310,Rooming and Boarding Houses
812320,Drycleaning and Laundry Services (except Coin-Operated)
812320,Drycleaning and Laundry Services (except Coin-Operated)
812331,Linen Supply
812310,Coin-Operated Laundries and Drycleaners
812320,Drycleaning and Laundry Services (except Coin-Operated)
561740,Carpet and Upholstery Cleaning Services
812332,Industrial Launderers
811490,Other Personal and Household Goods Repair and Maintenance
812320,Drycleaning and Laundry Services (except Coin-Operated)
812331,Linen Supply 
541921,"Photography Studios, Portrait"
611511,Cosmetology and Barber Schools
812112,Beauty Salons
812113,Nail Salons
611511,Cosmetology and Barber Schools
812111,Barber Shops
811430,Footwear and Leather Goods Repair
812320,Drycleaning and Laundry Services (except Coin-Operated)
812990,All Other Personal Services
812210,Funeral Homes and Funeral Services
812220,Cemeteries and Crematories
541213,Tax Preparation Services
532281,Formal Wear and Costume Rental
541990,"All Other Professional, Scientific, and Technical Services"
561311,Employment Placement Agencies
561990,All Other Support Services
812191,Diet and Weight Reducing Centers
812199,Other Personal Care Services
812930,Parking Lots and Garages
812990,All Other Personal Services
541810,Advertising Agencies
541850,Outdoor Advertising
541840,Media Representatives 
481219,Other Nonscheduled Air Transportation
541830,Media Buying Agencies
541850,Outdoor Advertising
541870,Advertising Material Distribution Services
541890,Other Services Related to Advertising
561440,Collection Agencies
561450,Credit Bureaus
511140,Directory and Mailing List Publishers
541860,Direct Mail Advertising
323111,Commercial Printing (except Screen and Books)
561439,Other Business Service Centers (including Copy Shops)
481219,Other Nonscheduled Air Transportation
541922,Commercial Photography
541430,Graphic Design Services
561410,Document Preparation Services
561492,Court Reporting and Stenotype Services
561710,Exterminating and Pest Control Services
561720,Janitorial Services
561720,Janitorial Services
561790,Other Services to Buildings and Dwellings
532283,Home Health Equipment Rental
532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing 
238910,Site Preparation Contractors
238990,All Other Specialty Trade Contractors
532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing"
532210,Consumer Electronics and Appliances Rental
532289,All Other Consumer Goods Rental
532310,General Rental Centers
532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing"
532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing"
532420,Office Machinery and Equipment Rental and Leasing
532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing
562991,Septic Tank and Related Services
541612,Human Resources Consulting Services
561311,Employment Placement Agencies
561312,Executive Search Services
561320,Temporary Help Services
561330,Professional Employer Organizations
541511,Custom Computer Programming Services
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing"
511210,Software Publishers
541512,Computer Systems Design Services
518210,"Data Processing, Hosting, and Related Services"
517311,Wired Telecommunications Carriers
517919,All Other Telecommunications
541513,Computer Facilities Management Services
532420,Office Machinery and Equipment Rental and Leasing
443142,Electronics Stores
811212,Computer and Office Machine Repair and Maintenance
518210,"Data Processing, Hosting, and Related Services"
541512,Computer Systems Design Services
541519,Other Computer Related Services
561611,Investigation Services
561612,Security Guards and Patrol Services
561613,Armored Car Services
561621,Security Systems Services (except Locksmiths) 
519110,News Syndicates
711510,"Independent Artists, Writers, and Performers"
812921,Photofinishing Laboratories (except One- Hour)
812922,One-Hour Photofinishing
312230,Tobacco Manufacturing
313310,Textile and Fabric Finishing Mills
314999,All Other Miscellaneous Textile Product Mills
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing
425120,Wholesale Trade Agents and Brokers
488490,Other Support Activities for Road Transportation
491110,Postal Service
512240,Sound Recording Studios
512290,Other Sound Recording Industries
518210,"Data Processing, Hosting, and Related Services"
519190,All Other Information Services
522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities"
541199,All Other Legal Services
541340,Drafting Services
541350,Building Inspection Services
541370,Surveying and Mapping (except Geophysical) Services
541410,Interior Design Services
541420,Industrial Design Services
541490,Other Specialized Design Services
541870,Advertising Material Distribution Services
541890,Other Services Related to Advertising
541930,Translation and Interpretation Services
541990,"All Other Professional, Scientific, and Technical Services"
561410,Document Preparation Services
561421,Telephone Answering Services
561422,Telemarketing Bureaus and Other Contact Centers
561431,Private Mail Centers
561439,Other Business Service Centers (including Copy Shops)
561440,Collection Agencies
561491,Repossession Services
561499,All Other Business Support Services
561591,Convention and Visitors Bureaus
561599,All Other Travel Arrangement and Reservation Services
561790,Other Services to Buildings and Dwellings
561910,Packaging and Labeling Services
561920,Convention and Trade Show Organizers 
561990,All Other Support Services
711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities"
711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities"
711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures"
812320,Drycleaning and Laundry Services (except Coin-Operated)
812990,All Other Personal Services
532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing"
532111,Passenger Car Rental
532112,Passenger Car Leasing
532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing"
812930,Parking Lots and Garages
811121,"Automotive Body, Paint, and Interior Repair and Maintenance"
811112,Automotive Exhaust System Repair
326212,Tire Retreading
811198,All Other Automotive Repair and Maintenance
811122,Automotive Glass Replacement Shops
811113,Automotive Transmission Repair
811111,General Automotive Repair
811118,Other Automotive Mechanical and Electrical Repair and Maintenance
811198,All Other Automotive Repair and Maintenance
811192,Car Washes
488410,Motor Vehicle Towing
811122,Automotive Glass Replacement Shops
811191,Automotive Oil Change and Lubrication Shops
811198,All Other Automotive Repair and Maintenance
238290,Other Building Equipment Contractors
443142,Electronics Stores
811211,Consumer Electronics Repair and Maintenance
811213,Communication Equipment Repair and Maintenance
443141,Household Appliance Stores
811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance
811412,Appliance Repair and Maintenance
443141,Household Appliance Stores
811211,Consumer Electronics Repair and Maintenance 
811212,Computer and Office Machine Repair and Maintenance
811213,Communication Equipment Repair and Maintenance
811219,Other Electronic and Precision Equipment Repair and Maintenance
811412,Appliance Repair and Maintenance
448310,Jewelry Stores
811490,Other Personal and Household Goods Repair and Maintenance
811420,Reupholstery and Furniture Repair
811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance
335312,Motor and Generator Manufacturing
811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance
115210,Support Activities for Animal Production
238220,"Plumbing, Heating, and Air-Conditioning Contractors"
442299,All Other Home Furnishings Stores
444130,Hardware Stores
444210,Outdoor Power Equipment Stores
451110,Sporting Goods Stores
488390,Other Support Activities for Water Transportation
561622,Locksmiths
561790,Other Services to Buildings and Dwellings
562991,Septic Tank and Related Services
562998,All Other Miscellaneous Waste Management Services
711510,"Independent Artists, Writers, and Performers"
811211,Consumer Electronics Repair and Maintenance
811212,Computer and Office Machine Repair and Maintenance
811219,Other Electronic and Precision Equipment Repair and Maintenance
811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance
811411,Home and Garden Equipment Repair and Maintenance
811412,Appliance Repair and Maintenance
811430,Footwear and Leather Goods Repair
811490,Other Personal and Household Goods Repair and Maintenance
512110,Motion Picture and Video Production 
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing"
512191,Teleproduction and Other Postproduction Services
512199,Other Motion Picture and Video Industries
532281,Formal Wear and Costume Rental
532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing
541214,Payroll Services
541690,Other Scientific and Technical Consulting Services
561311,Employment Placement Agencies
711510,"Independent Artists, Writers, and Performers"
423990,Other Miscellaneous Durable Goods Merchant Wholesalers
512120,Motion Picture and Video Distribution
512120,Motion Picture and Video Distribution
512199,Other Motion Picture and Video Industries
519120,Libraries and Archives
512131,Motion Picture Theaters (except Drive-Ins)
512132,Drive-In Motion Picture Theaters
532282,Video Tape and Disc Rental
611610,Fine Arts Schools
713990,All Other Amusement and Recreation Industries
